Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 01, 2020",$0.2091,$0.2098,$0.2049,$0.2076,"$5,353,961","$79,877,128"
"Jun 30, 2020",$0.2065,$0.2103,$0.2065,$0.2091,"$3,356,163","$80,471,064"
"Jun 29, 2020",$0.2052,$0.2102,$0.2051,$0.2065,"$4,109,946","$79,456,358"
"Jun 28, 2020",$0.2088,$0.2089,$0.2041,$0.2052,"$4,229,820","$78,958,236"
"Jun 27, 2020",$0.2036,$0.2119,$0.2034,$0.2088,"$4,132,547","$80,358,901"
"Jun 26, 2020",$0.2036,$0.2146,$0.2036,$0.2036,"$4,635,876","$78,346,865"
"Jun 25, 2020",$0.2062,$0.2063,$0.2006,$0.2036,"$4,091,550","$78,331,711"
"Jun 24, 2020",$0.2099,$0.2106,$0.2035,$0.2062,"$4,093,741","$79,350,202"
"Jun 23, 2020",$0.21,$0.2117,$0.2093,$0.2097,"$1,668,096","$80,686,630"
"Jun 22, 2020",$0.2122,$0.2132,$0.2045,$0.2099,"$3,325,161","$80,764,543"
"Jun 21, 2020",$0.2119,$0.2123,$0.2102,$0.2121,"$2,813,235","$81,554,099"
"Jun 20, 2020",$0.2128,$0.2129,$0.2112,$0.2119,"$3,002,571","$81,489,144"
"Jun 19, 2020",$0.2114,$0.2129,$0.2104,$0.2127,"$2,794,260","$81,818,206"
"Jun 18, 2020",$0.2133,$0.2178,$0.2107,$0.2114,"$3,232,046","$81,306,508"
"Jun 17, 2020",$0.2166,$0.219,$0.2108,$0.2133,"$3,325,691","$82,022,547"
"Jun 16, 2020",$0.2055,$0.218,$0.2054,$0.2166,"$3,212,363","$83,289,647"
"Jun 15, 2020",$0.2122,$0.2125,$0.1994,$0.2054,"$3,352,726","$79,000,599"
"Jun 14, 2020",$0.2133,$0.2138,$0.2094,$0.2122,"$3,130,570","$81,445,196"
"Jun 13, 2020",$0.2114,$0.2142,$0.2114,$0.2133,"$2,359,180","$81,878,560"
"Jun 12, 2020",$0.2027,$0.2147,$0.2008,$0.2113,"$2,368,438","$81,124,515"
"Jun 11, 2020",$0.2275,$0.2348,$0.1999,$0.2017,"$5,135,512","$77,388,997"
"Jun 10, 2020",$0.2227,$0.2471,$0.2217,$0.2273,"$6,802,570","$87,222,640"
"Jun 09, 2020",$0.2188,$0.246,$0.2172,$0.2227,"$7,813,825","$85,452,040"
"Jun 08, 2020",$0.2155,$0.2188,$0.2139,$0.2187,"$4,277,260","$62,922,402"
"Jun 07, 2020",$0.2115,$0.2155,$0.2075,$0.2154,"$6,333,816","$61,992,302"
"Jun 06, 2020",$0.2134,$0.2135,$0.2077,$0.2115,"$8,456,857","$60,866,578"
"Jun 05, 2020",$0.217,$0.2236,$0.2117,$0.2136,"$3,026,762","$61,456,882"
"Jun 04, 2020",$0.2025,$0.217,$0.2025,$0.217,"$8,524,158","$62,449,740"
"Jun 03, 2020",$0.199,$0.2027,$0.1988,$0.2026,"$3,843,973","$58,291,955"
"Jun 02, 2020",$0.2016,$0.204,$0.1965,$0.199,"$4,819,602","$57,266,333"
"Jun 01, 2020",$0.1974,$0.2021,$0.1959,$0.2016,"$4,662,961","$58,009,214"
"May 31, 2020",$0.1966,$0.2032,$0.1947,$0.1974,"$3,187,584","$56,810,901"
"May 30, 2020",$0.1986,$0.1987,$0.1937,$0.1968,"$4,484,807","$56,618,244"
"May 29, 2020",$0.1973,$0.2179,$0.1956,$0.1988,"$6,963,867","$57,197,235"
"May 28, 2020",$0.196,$0.1996,$0.1957,$0.1973,"$5,398,286","$56,782,137"
"May 27, 2020",$0.1963,$0.199,$0.192,$0.1959,"$5,412,010","$56,373,312"
"May 26, 2020",$0.1903,$0.2049,$0.1886,$0.1963,"$5,178,910","$56,488,312"
"May 25, 2020",$0.1818,$0.1904,$0.1812,$0.1903,"$4,140,569","$54,759,034"
"May 24, 2020",$0.1864,$0.19,$0.1814,$0.1814,"$4,414,090","$52,197,524"
"May 23, 2020",$0.1812,$0.1924,$0.1812,$0.1863,"$3,275,856","$53,616,457"
"May 22, 2020",$0.1793,$0.1949,$0.1739,$0.1813,"$5,685,118","$52,161,246"
"May 21, 2020",$0.1866,$0.1868,$0.1789,$0.1794,"$4,845,520","$51,632,351"
"May 20, 2020",$0.1865,$0.1913,$0.1858,$0.1865,"$4,982,240","$53,680,254"
"May 19, 2020",$0.1938,$0.1939,$0.1834,$0.1866,"$5,337,298","$53,688,764"
"May 18, 2020",$0.1914,$0.1963,$0.1906,$0.1935,"$5,539,610","$55,676,944"
"May 17, 2020",$0.1855,$0.1989,$0.1848,$0.1914,"$2,342,475","$55,081,683"
"May 16, 2020",$0.1839,$0.1863,$0.1839,$0.1855,"$1,946,361","$53,367,530"
"May 15, 2020",$0.1875,$0.1882,$0.1838,$0.1838,"$2,133,914","$52,904,586"
"May 14, 2020",$0.189,$0.1921,$0.1861,$0.1875,"$4,208,893","$53,966,799"
"May 13, 2020",$0.1855,$0.192,$0.185,$0.189,"$7,674,138","$54,399,094"
"May 12, 2020",$0.1794,$0.1907,$0.1789,$0.1855,"$10,668,501","$53,371,837"
"May 11, 2020",$0.1797,$0.1858,$0.176,$0.1792,"$3,109,698","$51,573,243"
"May 10, 2020",$0.1915,$0.1915,$0.1752,$0.1797,"$1,994,656","$51,716,112"
"May 09, 2020",$0.1938,$0.199,$0.1905,$0.1915,"$2,062,463","$55,109,096"
"May 08, 2020",$0.1949,$0.1979,$0.1938,$0.1939,"$2,154,643","$55,797,278"
"May 07, 2020",$0.2156,$0.2291,$0.1939,$0.1949,"$4,768,066","$56,079,544"
"May 06, 2020",$0.1898,$0.2494,$0.1894,$0.2156,"$22,831,302","$62,031,224"
"May 05, 2020",$0.192,$0.1933,$0.1882,$0.1898,"$1,545,118","$54,614,665"
"May 04, 2020",$0.1946,$0.1947,$0.1895,$0.1919,"$1,134,900","$55,212,188"
"May 03, 2020",$0.1953,$0.2,$0.1932,$0.1946,"$1,524,607","$56,009,696"
"May 02, 2020",$0.1917,$0.197,$0.1913,$0.1952,"$1,738,995","$56,185,459"
